example_id                                                    | status | run_time        |
./spec/requests/api/v1/payments_spec.rb[1:2:4:1]              | passed | 0.00173 seconds |
./spec/requests/api/v1/payments_spec.rb[1:2:5:1]              | passed | 0.00251 seconds |
./spec/requests/api/v1/payments_spec.rb[1:3:1:1]              | passed | 0.0026 seconds  |
./spec/requests/api/v1/payments_spec.rb[1:3:1:2]              | passed | 0.00244 seconds |
./spec/requests/api/v1/payments_spec.rb[1:3:1:3]              | passed | 0.00237 seconds |
./spec/requests/api/v1/payments_spec.rb[1:3:2:1]              | passed | 0.06654 seconds |
./spec/requests/api/v1/payments_spec.rb[1:3:3:1]              | passed | 0.0014 seconds  |
./spec/requests/api/v1/payments_spec.rb[1:4:1:1]              | passed | 0.0043 seconds  |
./spec/requests/api/v1/payments_spec.rb[1:4:1:2]              | passed | 0.00418 seconds |
./spec/requests/api/v1/payments_spec.rb[1:4:1:3]              | passed | 0.00353 seconds |
./spec/requests/api/v1/payments_spec.rb[1:4:1:4]              | passed | 0.00501 seconds |
./spec/requests/api/v1/payments_spec.rb[1:4:1:5]              | passed | 0.00365 seconds |
./spec/requests/api/v1/payments_spec.rb[1:4:1:6]              | passed | 0.00529 seconds |
./spec/requests/api/v1/payments_spec.rb[1:4:2:1]              | passed | 0.0011 seconds  |
./spec/requests/api/v1/payments_spec.rb[1:4:2:2]              | passed | 0.00112 seconds |
./spec/requests/api/v1/payments_spec.rb[1:4:2:3]              | passed | 0.00131 seconds |
./spec/requests/api/v1/payments_spec.rb[1:4:3:1]              | passed | 0.00354 seconds |
./spec/requests/api/v1/payments_spec.rb[1:4:4:1]              | passed | 0.00111 seconds |
./spec/requests/api/v1/payments_spec.rb[1:5:1:1]              | passed | 0.00378 seconds |
./spec/requests/api/v1/payments_spec.rb[1:5:2:1]              | passed | 0.00324 seconds |
./spec/requests/api/v1/payments_spec.rb[1:5:3:1]              | passed | 0.00286 seconds |
./spec/requests/api/v1/payments_spec.rb[1:5:4:1]              | passed | 0.00399 seconds |
./spec/requests/api/v1/payments_spec.rb[1:5:5:1]              | passed | 0.00276 seconds |
./spec/requests/api/v1/payments_spec.rb[1:5:6:1]              | passed | 0.0036 seconds  |
./spec/requests/api/v1/payments_spec.rb[1:5:7:1]              | passed | 0.00462 seconds |
./spec/requests/api/v1/payments_spec.rb[1:5:8:1]              | passed | 0.00272 seconds |
./spec/requests/api/v1/payments_spec.rb[1:6:1:1]              | passed | 0.00647 seconds |
./spec/requests/api/v1/payments_spec.rb[1:6:1:2]              | passed | 0.00435 seconds |
./spec/requests/api/v1/payments_spec.rb[1:6:1:3]              | passed | 0.00272 seconds |
./spec/requests/api/v1/payments_spec.rb[1:6:2:1]              | passed | 0.00328 seconds |
./spec/requests/api/v1/payments_spec.rb[1:6:3:1]              | passed | 0.00266 seconds |
./spec/requests/api/v1/payments_spec.rb[1:7:1:1]              | passed | 0.00352 seconds |
./spec/requests/api/v1/payments_spec.rb[1:7:1:2]              | passed | 0.0038 seconds  |
./spec/requests/api/v1/payments_spec.rb[1:7:2:1]              | passed | 0.00349 seconds |
./spec/requests/api/v1/payments_spec.rb[1:7:3:1]              | passed | 0.0039 seconds  |
./spec/requests/api/v1/payments_spec.rb[1:7:4:1]              | passed | 0.00483 seconds |
./spec/requests/api/v1/payments_spec.rb[1:7:5:1]              | passed | 0.00471 seconds |
./spec/requests/api/v1/payments_spec.rb[1:7:6:1]              | passed | 0.00366 seconds |
./spec/requests/api/v1/payments_spec.rb[1:7:7:1]              | passed | 0.00264 seconds |
./spec/requests/api/v1/payments_spec.rb[1:7:8:1]              | passed | 0.003 seconds   |
./spec/requests/api/v1/payments_spec.rb[1:7:9:1]              | passed | 0.00253 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:1:1]     | passed | 0.00212 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:1:2]     | passed | 0.00055 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:2:1]     | passed | 0.00062 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:2:2]     | passed | 0.00063 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:1:1]   | passed | 0.00135 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:2:1]   | passed | 0.00126 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:3:1:1] | passed | 0.00089 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:3:1:2] | passed | 0.00076 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:3:2:1] | passed | 0.00094 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:3:2:2] | passed | 0.001 seconds   |
./spec/services/appointment_lookup_service_spec.rb[1:3:3:2:3] | passed | 0.00078 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:4:1]   | passed | 0.00225 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:4:2]   | passed | 0.00248 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:5:1]   | passed | 0.00084 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:6:1]   | passed | 0.00069 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:6:2]   | passed | 0.00092 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:7:1]   | passed | 0.00074 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:7:2]   | passed | 0.00172 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:8:1]   | passed | 0.00071 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:8:2]   | passed | 0.00086 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:9:1]   | passed | 0.00172 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:9:2]   | passed | 0.00171 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:10:1]  | passed | 0.00131 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:10:2]  | passed | 0.00188 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:11:1]  | passed | 0.00074 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:3:11:2]  | passed | 0.00078 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:4:1:1]   | passed | 0.00069 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:4:2:1]   | passed | 0.00079 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:1:1]   | passed | 0.00058 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:2:1]   | passed | 0.00064 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:3:1]   | passed | 0.00075 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:3:2]   | passed | 0.00098 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:4:1]   | passed | 0.00061 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:5:1]   | passed | 0.00073 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:6:1]   | passed | 0.00062 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:7:1]   | passed | 0.00073 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:5:8:1]   | passed | 0.00064 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:6:1:1]   | passed | 0.00148 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:6:2:1]   | passed | 0.00156 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:6:3:1]   | passed | 0.00155 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:6:3:2]   | passed | 0.00189 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:6:4:1]   | passed | 0.00173 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:6:5:1:1] | passed | 0.00191 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:6:5:2:1] | passed | 0.00196 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:6:5:3:1] | passed | 0.0018 seconds  |
./spec/services/appointment_lookup_service_spec.rb[1:7:1:1]   | passed | 0.00068 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:7:2:1]   | passed | 0.00055 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:7:3:1]   | passed | 0.0008 seconds  |
./spec/services/appointment_lookup_service_spec.rb[1:7:3:2]   | passed | 0.00071 seconds |
./spec/services/appointment_lookup_service_spec.rb[1:7:4:1]   | passed | 0.00077 seconds |
